game_id,team,player_id,player_name_std,status,source,latest_snapshot_ts
,Adelaide,,N Murray,in,afl_lineups_round_24,20250821_130613
,Adelaide,,R Laird,in,afl_lineups_round_24,20250821_130613
,North Melbourne,,L Parker,in,afl_lineups_round_24,20250821_130613
,North Melbourne,,J Darling,in,afl_lineups_round_24,20250821_130613
,North Melbourne,,J Konstanty,in,afl_lineups_round_24,20250821_130613
,Adelaide,,J Worrell,in,afl_lineups_round_24,20250821_130613
,Adelaide,,M Keane,in,afl_lineups_round_24,20250821_130613
,Adelaide,,H Bond,in,afl_lineups_round_24,20250821_130613
,North Melbourne,,T Xerri,in,afl_lineups_round_24,20250821_130613
,North Melbourne,,H Sheezel,in,afl_lineups_round_24,20250821_130613
,North Melbourne,,G Wardlaw,in,afl_lineups_round_24,20250821_130613
,Adelaide,,R O'Brien,in,afl_lineups_round_24,20250821_130613
,Adelaide,,S Berry,in,afl_lineups_round_24,20250821_130613
,Adelaide,,J Soligo,in,afl_lineups_round_24,20250821_130613
,Adelaide,,J Peatling,in,afl_lineups_round_24,20250821_130613
,Adelaide,,Z Taylor,in,afl_lineups_round_24,20250821_130613
,Adelaide,,B Smith,in,afl_lineups_round_24,20250821_130613
,Adelaide,,M Hinge,in,afl_lineups_round_24,20250821_130613
,Adelaide,,B Dowling,in,afl_lineups_round_24,20250821_130613
,Adelaide,,C Burgess,in,afl_lineups_round_24,20250821_130613
,Adelaide,,L Murphy,in,afl_lineups_round_24,20250821_130613
,Adelaide,,L Nankervis,in,afl_lineups_round_24,20250821_130613
,Adelaide,,R Laird,in,afl_lineups_round_24,20250821_130613
,Adelaide,,B Dowling,in,afl_lineups_round_24,20250821_130613
,Adelaide,,S Draper,in,afl_lineups_round_24,20250821_130613
,Adelaide,,L Murphy,in,afl_lineups_round_24,20250821_130613
,Adelaide,,I Rankine,in,afl_lineups_round_24,20250821_130613
,Adelaide,,H Schoenberg,in,afl_lineups_round_24,20250821_130613
,Richmond,,H Armstrong,in,afl_lineups_round_24,20250821_130613
,Richmond,,T Hotton,in,afl_lineups_round_24,20250821_130613
,Richmond,,J Gibcus,in,afl_lineups_round_24,20250821_130613
,Richmond,,T Sonsie,in,afl_lineups_round_24,20250821_130613
,Richmond,,L Trainor,in,afl_lineups_round_24,20250821_130613
,Richmond,,J Koschitzke,in,afl_lineups_round_24,20250821_130613
,Richmond,,K Smith,in,afl_lineups_round_24,20250821_130613
,Richmond,,S Green,in,afl_lineups_round_24,20250821_130613
,Richmond,,J Gibcus,in,afl_lineups_round_24,20250821_130613
,Richmond,,L Trainor,in,afl_lineups_round_24,20250821_130613
,Richmond,,N Vlastuin,in,afl_lineups_round_24,20250821_130613
,Richmond,,S Green,in,afl_lineups_round_24,20250821_130613
,Richmond,,N Broad,in,afl_lineups_round_24,20250821_130613
,Richmond,,B Miller,in,afl_lineups_round_24,20250821_130613
,Richmond,,T Young,in,afl_lineups_round_24,20250821_130613
,Geelong,,P Dangerfield,in,afl_lineups_round_24,20250821_130613
,Geelong,,J Cameron,in,afl_lineups_round_24,20250821_130613
,Geelong,,T Stengle,in,afl_lineups_round_24,20250821_130613
,Richmond,,T Brown,in,afl_lineups_round_24,20250821_130613
,Richmond,,S Banks,in,afl_lineups_round_24,20250821_130613
,Richmond,,J Short,in,afl_lineups_round_24,20250821_130613
,Geelong,,B Close,in,afl_lineups_round_24,20250821_130613
,Geelong,,S Mannagh,in,afl_lineups_round_24,20250821_130613
,Geelong,,G Miers,in,afl_lineups_round_24,20250821_130613
,Richmond,,K McIntosh,in,afl_lineups_round_24,20250821_130613
,Richmond,,D Prestia,in,afl_lineups_round_24,20250821_130613
,Richmond,,J Trezise,in,afl_lineups_round_24,20250821_130613
,Geelong,,M Blicavs,in,afl_lineups_round_24,20250821_130613
,Geelong,,M Holmes,in,afl_lineups_round_24,20250821_130613
,Geelong,,O Dempsey,in,afl_lineups_round_24,20250821_130613
,Richmond,,S Campbell,in,afl_lineups_round_24,20250821_130613
,Richmond,,J Ross,in,afl_lineups_round_24,20250821_130613
,Richmond,,M Rioli,in,afl_lineups_round_24,20250821_130613
,Geelong,,Z Guthrie,in,afl_lineups_round_24,20250821_130613
,Geelong,,T Stewart,in,afl_lineups_round_24,20250821_130613
,Geelong,,L Humphries,in,afl_lineups_round_24,20250821_130613
,Richmond,,R Mansell,in,afl_lineups_round_24,20250821_130613
,Richmond,,T Lynch,in,afl_lineups_round_24,20250821_130613
,Richmond,,N Balta,in,afl_lineups_round_24,20250821_130613
,Geelong,,J Henry,in,afl_lineups_round_24,20250821_130613
,Geelong,,S De Koning,in,afl_lineups_round_24,20250821_130613
,Geelong,,C O'Sullivan,in,afl_lineups_round_24,20250821_130613
,Richmond,,T Nankervis,in,afl_lineups_round_24,20250821_130613
,Richmond,,T Taranto,in,afl_lineups_round_24,20250821_130613
,Richmond,,J Hopper,in,afl_lineups_round_24,20250821_130613
,Geelong,,R Stanley,in,afl_lineups_round_24,20250821_130613
,Geelong,,T Atkins,in,afl_lineups_round_24,20250821_130613
,Geelong,,B Smith,in,afl_lineups_round_24,20250821_130613
,Geelong,,M O'Connor,in,afl_lineups_round_24,20250821_130613
,Geelong,,J Bews,in,afl_lineups_round_24,20250821_130613
,Geelong,,J Martin,in,afl_lineups_round_24,20250821_130613
,Geelong,,O Mullin,in,afl_lineups_round_24,20250821_130613
,Geelong,,J Bowes,in,afl_lineups_round_24,20250821_130613
,Geelong,,M Knevitt,in,afl_lineups_round_24,20250821_130613
,Geelong,,J Clark,in,afl_lineups_round_24,20250821_130613
,Geelong,,T Clohesy,in,afl_lineups_round_24,20250821_130613
,Geelong,,J Bews,in,afl_lineups_round_24,20250821_130613
,Geelong,,S Neale,in,afl_lineups_round_24,20250821_130613
,West Coast,,N Long,in,afl_lineups_round_24,20250821_130613
,West Coast,,B Williams,in,afl_lineups_round_24,20250821_130613
,West Coast,,R Bazzo,in,afl_lineups_round_24,20250821_130613
,West Coast,,T Dewar,in,afl_lineups_round_24,20250821_130613
,West Coast,,J Newton,in,afl_lineups_round_24,20250821_130613
,West Coast,,J Petruccelle,in,afl_lineups_round_24,20250821_130613
,West Coast,,H Johnston,in,afl_lineups_round_24,20250821_130613
,West Coast,,J Williams,in,afl_lineups_round_24,20250821_130613
,West Coast,,T Dewar,in,afl_lineups_round_24,20250821_130613
,West Coast,,L Grego,in,afl_lineups_round_24,20250821_130613
,West Coast,,M Owies,in,afl_lineups_round_24,20250821_130613
,West Coast,,R Maric,in,afl_lineups_round_24,20250821_130613
,West Coast,,T Cole,in,afl_lineups_round_24,20250821_130613
,West Coast,,S Brock,in,afl_lineups_round_24,20250821_130613
,West Coast,,B Hough,in,afl_lineups_round_24,20250821_130613
,Sydney,,W Hayward,in,afl_lineups_round_24,20250821_130613
,Sydney,,J Buller,in,afl_lineups_round_24,20250821_130613
,Sydney,,T Papley,in,afl_lineups_round_24,20250821_130613
,West Coast,,L Grego,in,afl_lineups_round_24,20250821_130613
,West Coast,,R Ginbey,in,afl_lineups_round_24,20250821_130613
,West Coast,,L Baker,in,afl_lineups_round_24,20250821_130613
,Sydney,,J Lloyd,in,afl_lineups_round_24,20250821_130613
,Sydney,,H McLean,in,afl_lineups_round_24,20250821_130613
,Sydney,,J Jordon,in,afl_lineups_round_24,20250821_130613
,West Coast,,C Chesser,in,afl_lineups_round_24,20250821_130613
,West Coast,,T Kelly,in,afl_lineups_round_24,20250821_130613
,West Coast,,T McCarthy,in,afl_lineups_round_24,20250821_130613
,Sydney,,O Florent,in,afl_lineups_round_24,20250821_130613
,Sydney,,C Warner,in,afl_lineups_round_24,20250821_130613
,Sydney,,E Gulden,in,afl_lineups_round_24,20250821_130613
,West Coast,,E Hewett,in,afl_lineups_round_24,20250821_130613
,West Coast,,L Ryan,in,afl_lineups_round_24,20250821_130613
,West Coast,,H Davis,in,afl_lineups_round_24,20250821_130613
,Sydney,,D Rampe,in,afl_lineups_round_24,20250821_130613
,Sydney,,N Blakey,in,afl_lineups_round_24,20250821_130613
,Sydney,,S Wicks,in,afl_lineups_round_24,20250821_130613
,West Coast,,T Brockman,in,afl_lineups_round_24,20250821_130613
,West Coast,,J Shanahan,in,afl_lineups_round_24,20250821_130613
,West Coast,,J Cripps,in,afl_lineups_round_24,20250821_130613
,Sydney,,C Mills,in,afl_lineups_round_24,20250821_130613
,Sydney,,L Melican,in,afl_lineups_round_24,20250821_130613
,Sydney,,T McCartin,in,afl_lineups_round_24,20250821_130613
,West Coast,,M Flynn,in,afl_lineups_round_24,20250821_130613
,West Coast,,J Graham,in,afl_lineups_round_24,20250821_130613
,West Coast,,C Hall,in,afl_lineups_round_24,20250821_130613
,Sydney,,B Grundy,in,afl_lineups_round_24,20250821_130613
,Sydney,,I Heeney,in,afl_lineups_round_24,20250821_130613
,Sydney,,A Sheldrick,in,afl_lineups_round_24,20250821_130613
,Sydney,,H Cunningham,in,afl_lineups_round_24,20250821_130613
,Sydney,,B Campbell,in,afl_lineups_round_24,20250821_130613
,Sydney,,R Bice,in,afl_lineups_round_24,20250821_130613
,Sydney,,J Rowbottom,in,afl_lineups_round_24,20250821_130613
,Sydney,,C Warner,in,afl_lineups_round_24,20250821_130613
,Sydney,,P Ladhams,in,afl_lineups_round_24,20250821_130613
,Sydney,,M Roberts,in,afl_lineups_round_24,20250821_130613
,Sydney,,C Cleary,in,afl_lineups_round_24,20250821_130613
,Sydney,,B Grundy,in,afl_lineups_round_24,20250821_130613
,Sydney,,C Warner,in,afl_lineups_round_24,20250821_130613
,Sydney,,R Bice,in,afl_lineups_round_24,20250821_130613
,Sydney,,P Ladhams,in,afl_lineups_round_24,20250821_130613
,Sydney,,C Cleary,in,afl_lineups_round_24,20250821_130613
,Sydney,,J Dattoli,in,afl_lineups_round_24,20250821_130613
,GWS,,L Aleer,in,afl_lineups_round_24,20250821_130613
,GWS,,H Rowston,in,afl_lineups_round_24,20250821_130613
,GWS,,H Thomas,in,afl_lineups_round_24,20250821_130613
,GWS,,M Gruzewski,in,afl_lineups_round_24,20250821_130613
,GWS,,J Wehr,in,afl_lineups_round_24,20250821_130613
,GWS,,J Fonti,in,afl_lineups_round_24,20250821_130613
,GWS,,J Leake,in,afl_lineups_round_24,20250821_130613
,GWS,,T Bedford,in,afl_lineups_round_24,20250821_130613
,GWS,,B Daniels,in,afl_lineups_round_24,20250821_130613
,GWS,,J Buckley,in,afl_lineups_round_24,20250821_130613
,GWS,,J Leake,in,afl_lineups_round_24,20250821_130613
,GWS,,C Idun,in,afl_lineups_round_24,20250821_130613
,GWS,,S Taylor,in,afl_lineups_round_24,20250821_130613
,GWS,,H Himmelberg,in,afl_lineups_round_24,20250821_130613
,St Kilda,,J Higgins,in,afl_lineups_round_24,20250821_130613
,St Kilda,,I Keeler,in,afl_lineups_round_24,20250821_130613
,St Kilda,,C Sharman,in,afl_lineups_round_24,20250821_130613
,GWS,,L Whitfield,in,afl_lineups_round_24,20250821_130613
,GWS,,J Buckley,in,afl_lineups_round_24,20250821_130613
,GWS,,L Ash,in,afl_lineups_round_24,20250821_130613
,St Kilda,,M Hall,in,afl_lineups_round_24,20250821_130613
,St Kilda,,H Garcia,in,afl_lineups_round_24,20250821_130613
,St Kilda,,D Wilson,in,afl_lineups_round_24,20250821_130613
,GWS,,X O'Halloran,in,afl_lineups_round_24,20250821_130613
,GWS,,S Coniglio,in,afl_lineups_round_24,20250821_130613
,GWS,,R Angwin,in,afl_lineups_round_24,20250821_130613
,St Kilda,,M Wood,in,afl_lineups_round_24,20250821_130613
,St Kilda,,H Boxshall,in,afl_lineups_round_24,20250821_130613
,St Kilda,,B Hill,in,afl_lineups_round_24,20250821_130613
,GWS,,B Daniels,in,afl_lineups_round_24,20250821_130613
,GWS,,A Cadman,in,afl_lineups_round_24,20250821_130613
,GWS,,D Jones,in,afl_lineups_round_24,20250821_130613
,St Kilda,,L Stocker,in,afl_lineups_round_24,20250821_130613
,St Kilda,,N W-Milera,in,afl_lineups_round_24,20250821_130613
,St Kilda,,J Sinclair,in,afl_lineups_round_24,20250821_130613
,GWS,,T Greene,in,afl_lineups_round_24,20250821_130613
,GWS,,J Riccardi,in,afl_lineups_round_24,20250821_130613
,GWS,,C Brown,in,afl_lineups_round_24,20250821_130613
,St Kilda,,A Tauru,in,afl_lineups_round_24,20250821_130613
,St Kilda,,C Wilkie,in,afl_lineups_round_24,20250821_130613
,St Kilda,,A Caminiti,in,afl_lineups_round_24,20250821_130613
,GWS,,K Briggs,in,afl_lineups_round_24,20250821_130613
,GWS,,F Callaghan,in,afl_lineups_round_24,20250821_130613
,GWS,,T Green,in,afl_lineups_round_24,20250821_130613
,St Kilda,,R Marshall,in,afl_lineups_round_24,20250821_130613
,St Kilda,,J Steele,in,afl_lineups_round_24,20250821_130613
,St Kilda,,M Windhager,in,afl_lineups_round_24,20250821_130613
,St Kilda,,Z Jones,in,afl_lineups_round_24,20250821_130613
,St Kilda,,L Collard,in,afl_lineups_round_24,20250821_130613
,St Kilda,,T Travaglia,in,afl_lineups_round_24,20250821_130613
,St Kilda,,J Macrae,in,afl_lineups_round_24,20250821_130613
,St Kilda,,J Carroll,in,afl_lineups_round_24,20250821_130613
,St Kilda,,M Phillipou,in,afl_lineups_round_24,20250821_130613
,St Kilda,,A Dodson,in,afl_lineups_round_24,20250821_130613
,St Kilda,,L O'Connell,in,afl_lineups_round_24,20250821_130613
,St Kilda,,J Carroll,in,afl_lineups_round_24,20250821_130613
