season,round,venue_id,venue_norm_canon,venue,weather_time_utc,captured_at_utc,payload_json,temp_c,pressure_hpa,cloud_pct,rain_prob,wind_speed_ms,wind_gust_ms,tz,provider,lat,lon
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 09:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T09:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",11.3,1021.0,74.0,0.19,1.28,1.4,Australia/Perth,open-meteo,-31.95111,115.88917
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 10:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T10:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",10.7,1020.9,61.0,0.16,1.42,1.7,Australia/Perth,open-meteo,-31.95111,115.88917
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 11:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T11:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",10.1,1020.8,43.0,0.12,1.43,1.9,Australia/Perth,open-meteo,-31.95111,115.88917
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 12:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T12:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",9.6,1020.8,24.0,0.08,1.61,2.1,Australia/Perth,open-meteo,-31.95111,115.88917
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 13:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T13:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",9.5,1020.9,6.0,0.06,1.7,2.2,Australia/Perth,open-meteo,-31.95111,115.88917
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 14:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T14:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",9.7,1021.3,6.0,0.06,1.75,2.0,Australia/Perth,open-meteo,-31.95111,115.88917
2025,finals_w1,vn_8c5a7154a509,optus stadium,Optus Stadium,2025-09-06 15:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T15:00:00+00:00"", ""game_key"": ""2025_finals_w1_fremantle-dockers_gold-coast-suns_20250906T093500Z"", ""raw_payload"": {""elevation"": 9.0, ""generationtime_ms"": 0.1533031463623047}}",10.1,1022.0,7.0,0.07,1.75,1.7,Australia/Perth,open-meteo,-31.95111,115.88917
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-05 23:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-05T23:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",18.0,1026.3,50.0,0.15,3.31,7.6,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 00:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T00:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",16.6,1026.9,49.0,0.15,2.61,7.0,Australia/Sydney,open-meteo,-33.84306,151.06778
2025,finals_w1,vn_ee1cb541f6bc,engie stadium,Sydney Showground Stadium,2025-09-06 01:00:00+00:00,2025-08-30 06:28:27.877350+00:00,"{""forecast_time_utc"": ""2025-09-06T01:00:00+00:00"", ""game_key"": ""2025_finals_w1_gws-giants_hawthorn-hawks_20250906T051500Z"", ""raw_payload"": {""elevation"": 15.0, ""generationtime_ms"": 0.20492076873779297}}",15.4,1027.4,49.0,0.15,1.78,6.3,Australia/Sydney,open-meteo,-33.84306,151.06778
