type,bookmaker,game_id,market_id,line,overround,team,player_name_std
overround_out_of_range,,,1.0,78.5,0.7518796992481203,,
overround_out_of_range,,,1.0,79.5,10.832251031089665,,
overround_out_of_range,,,1.0,80.0,109.50551415948101,,
overround_out_of_range,,,1.0,80.5,0.7751937984496123,,
overround_out_of_range,,,1.0,81.5,2.9209684342296236,,
overround_out_of_range,,,1.0,82.5,6.43235110559434,,
overround_out_of_range,,,1.0,84.5,2.145067333109763,,
overround_out_of_range,,,1.0,85.5,4.2873168176105745,,
overround_out_of_range,,,1.0,86.5,2.142097506547634,,
overround_out_of_range,,,1.0,87.5,4.283948301470203,,
overround_out_of_range,,,1.0,89.5,10.245808216771723,,
overround_out_of_range,,,1.0,90.0,75.16979850405662,,
overround_out_of_range,,,1.0,99.5,5.592200177690417,,
overround_out_of_range,,,1.0,100.0,47.87434550445015,,
overround_out_of_range,,,1.0,109.5,7.082107283421846,,
overround_out_of_range,,,1.0,110.0,26.242760543484845,,
overround_out_of_range,,,1.0,119.5,1.9638608844691055,,
overround_out_of_range,,,1.0,120.0,14.27059794022256,,
overround_out_of_range,,,1.0,129.5,1.4534717198510299,,
overround_out_of_range,,,1.0,139.5,0.2105263157894736,,
overround_out_of_range,,,1.0,143.5,7.428607395708984,,
overround_out_of_range,,,1.0,144.5,9.560304969187605,,
overround_out_of_range,,,1.0,145.5,9.576525115145337,,
overround_out_of_range,,,1.0,146.5,9.567734293354867,,
overround_out_of_range,,,1.0,147.5,9.58200138942772,,
overround_out_of_range,,,1.0,148.5,9.589859864686835,,
overround_out_of_range,,,1.0,149.5,16.96806204092149,,
overround_out_of_range,,,1.0,150.5,9.57622334382339,,
overround_out_of_range,,,1.0,151.5,9.564351908413757,,
overround_out_of_range,,,1.0,152.5,9.568240207231636,,
overround_out_of_range,,,1.0,153.5,9.584777084379935,,
overround_out_of_range,,,1.0,154.5,9.607613011382997,,
overround_out_of_range,,,1.0,155.5,9.605943652861882,,
overround_out_of_range,,,1.0,156.5,9.575593946255918,,
overround_out_of_range,,,1.0,157.5,9.576890595073202,,
overround_out_of_range,,,1.0,158.5,9.546247298473531,,
overround_out_of_range,,,1.0,159.5,15.790963072524443,,
overround_out_of_range,,,1.0,160.5,9.560847260603389,,
overround_out_of_range,,,1.0,161.5,9.580454940738488,,
overround_out_of_range,,,1.0,162.5,9.568506752684867,,
overround_out_of_range,,,1.0,163.5,11.815684840876857,,
overround_out_of_range,,,1.0,164.5,13.96649558131633,,
overround_out_of_range,,,1.0,165.5,13.810708674513503,,
overround_out_of_range,,,1.0,166.5,11.782084249400707,,
overround_out_of_range,,,1.0,167.5,9.557409130418762,,
overround_out_of_range,,,1.0,168.5,12.735980255804963,,
overround_out_of_range,,,1.0,169.5,14.499120644863366,,
overround_out_of_range,,,1.0,170.5,11.699987521235611,,
overround_out_of_range,,,1.0,171.5,13.991612854836532,,
overround_out_of_range,,,1.0,172.5,18.290432326036846,,
overround_out_of_range,,,1.0,173.5,9.569601117418035,,
overround_out_of_range,,,1.0,174.5,9.562072486590107,,
overround_out_of_range,,,1.0,175.5,9.579401315726285,,
overround_out_of_range,,,1.0,176.5,9.564503049507199,,
overround_out_of_range,,,1.0,177.5,13.897565917560039,,
overround_out_of_range,,,1.0,178.5,13.940276770572417,,
overround_out_of_range,,,1.0,179.5,13.198964355128293,,
overround_out_of_range,,,1.0,180.5,9.576186654771845,,
overround_out_of_range,,,1.0,181.5,9.578565275890679,,
overround_out_of_range,,,1.0,182.5,9.551237108705648,,
overround_out_of_range,,,1.0,183.5,9.574654275699771,,
overround_out_of_range,,,1.0,184.5,9.575010558880676,,
overround_out_of_range,,,1.0,185.5,9.557631601647639,,
overround_out_of_range,,,1.0,186.5,8.50682905460385,,
